Artist,Title,Genre,Year,Duration,Loudness
Be Bop Deluxe,Music In Dreamland,rock,1975,285.1522,-11.969
Regina Belle,You Are Everything,soul,1995,225.33179,-7.991
RIDDLIN' KIDS,Stop The World,rock,2004,195.65669,-3.044
Fontella Bass,I Can't Rest,northern soul,2006,175.38567,-6.754
The Mighty Mighty Bosstones,Pictures To Prove It,ska punk,1994,196.10077,-7.467
Sammi Cheng,Wo Ai Ni_ Zai Jian!,soundtrack,2004,255.76444,-10.75
Gang Of Four,A Piece Of My Heart,rock,1983,196.49261,-11.796
Coldplay,Things I Don't Understand,rock,2005,295.67955,-6.473
Steel Pulse,Man No Sober (LP Version),roots reggae,1982,266.05669,-10.762
Crematorium,Dying Under A Binary Star,death core,2005,198.26893,-5.428
Joe Rogan,Fear Factor (Shiny Happy Jihad),rock,2007,183.97995,-9.689
Novaspace,Dancing With Tears In My Eyes 2004 (Nova Mix (Club Version)),trance,2004,389.61587,-7.915
Phil Vassar,Like I Never Loved Before,singer-songwriter,2000,265.24689,-8.387
Precious Bryant,Blues All Around My Bed,blues,2002,154.30485,-11.301
Leona Naess,Paper Thin,rock,2000,645.38077,-12.793
The Chieftains,Carolan's Concerto,irish folk,1971,185.86077,-14.344
Galactic,Cafe deClouet,jazz funk,1998,21.39383,-30.249
D.R.S.,Gangsta Lean (Gangstapella),rap,1993,237.16526,-22.258
Lady Saw,Love & Understanding,reggae,1996,218.40934,-11.496
A Perfect Murder,In Hell (Album Version),heavy metal,2007,229.79873,-5.118
Ray Lynch,Ralph's Rhapsody,electronic,1998,283.74159,-16.715
Zombie Girl,We Are The Ones (Lounge Version),electro,2007,273.34485,-7.184
Atomic Rooster,Stand By Me,hard rock,1972,203.31057,-6.958
Perrey And Kingsley,The Unidentified Flying Object,electronic,1988,119.64036,-12.12
Hatebreed,Destroy Everything (Album Version),hardcore punk,2006,209.05751,-3.08
Information Society,Slipping Away/Here Is Kazmeyer,electronic,1990,251.61098,-13.573
Anti-Flag,The Gre(A)t Depression,rock,2009,188.55138,-5.032
Snowgoons,Michael Nobody aka Poetic Death,hip hop,2009,197.85098,-6.006
Brooke Valentine,American Girl,hip hop,2005,218.64444,-5.806
Butthole Surfers,22 Going On 23,noise rock,1987,263.70567,-10.981
Shakira,Estoy Aquí,dance pop,1995,366.70649,-7.098
Nightwish,Lappi Pt IV Etiäinen,heavy metal,1997,153.44281,-9.326
Heavy D,Private Dancer,hip hop,2008,212.24444,-6.791
Iggy And The Stooges,Raw Power,rock,1996,347.53261,-8.502
EPMD,Head Banger,hip hop,1992,291.16036,-3.349
Kurtis Blow,I'm Chillin,hip hop,1990,220.83873,-12.637
Porcupine Tree,Strip The Soul (album version),experimental rock,2002,441.88689,-5.94
Jackie Wilson,One Moment With You,rock,1993,182.49098,-12.007
Dario Marianelli,The Lord's Prayer,jazz,2009,192.86159,-17.27
The Token,Come Dance With Me,rock,1994,128.1824,-6.515
Year of Desolation,L.S.M.,death metal,2005,259.02975,-5.284
Lady Saw,To Sir With Love,reggae,1994,180.81914,-13.606
Dario Marianelli,Falling Apart,jazz,2009,70.05995,-24.651
Busdriver,Beauty Supply And Demand,indie rock,2004,125.77914,-7.117
Liars,Cycle Time,indie rock,2007,136.17587,-5.492
Dave Eggar,Deep Blue,new age,2005,225.25342,-27.019
X-ecutioners featuring Tom Tom Club & Biz Markie,Genius Of Love 2002 (featuring Tom Tom Club & Biz Markie),hip hop,2001,236.43383,-5.438
Static-X,Transmission (Album Version),industrial metal,2003,98.89914,-3.805
3 of Hearts,Is It Love,electronic,2001,224.07791,-8.811
Ciaran Byrne,Signs Can Hear All,downtempo,2006,150.282,-14.305
Gertrudis,Carita De Rosa,dub,2003,233.27302,-5.92
Phil Collins,Please Come Out Tonight,soft rock,1993,346.5922,-15.018
The Distillers,World Comes Tumblin' Down,punk,2000,188.21179,-5.008
Gorillaz,All Alone (Live),hip hop,2005,219.37587,-7.36
Tha Liks,Da Da Da Da,hip hop,2001,294.13832,-4.603
Cocoa Tea,Hurry Up And Come,reggae,2008,225.54077,-5.75
The Ataris,Make It Last,rock,1997,99.49995,-5.301
Basic Channel,Q Loop,techno,1995,329.01179,-22.184
Winds Of Plague,Origins And Endings,death metal,2008,270.13179,-3.225
Funeral For A Friend,Your Revolution Is A Joke,emo,2003,164.54485,-10.897
David Banner,Syrup Sipping (Banner Beat Break),rap,2008,72.4371,-11.576
Bodies In the Gears of the Apparatus,Xenophobic Hate Machine,grindcore,2005,126.17098,-6.551
Bullet For My Valentine,4 Words (To Choke Upon),alternative metal,2005,223.76444,-2.839
Aerosmith,Reefer Head Woman,hard rock,1979,241.8673,-12.328
B.B. King,Please Love Me,blues,1956,170.68363,-6.555
Brian Tyler,Festival Of Holi,soundtrack,2007,128.54812,-13.85
The New York Dolls,Human Being,hard rock,1974,344.45016,-10.193
Various Production,Bside,grime,2009,239.90812,-16.775
Nightwish,Kuolema Tekee Taiteilijan,heavy metal,2004,238.54975,-12.967
The Beatles / Tony Sheridan,Ain't She Sweet,rock,1964,130.95138,-7.455
Mississippi John Hurt,Coffee Blues,blues,1966,198.76526,-12.818
The Black Crowes,Good Morning Captain,rock,2009,202.91873,-12.024
Led Zeppelin,Immigrant Song (Album Version),hard rock,1970,145.05751,-10.544
Los Fabulosos Cadillacs,Twist Y Gritos (Twist & Shout),ska,1988,151.92771,-4.468
The Disposable Heroes Of Hiphoprisy,Music And Politics,hip hop,1992,241.52771,-18.454
Headliners,90er,hard house,2006,347.79383,-4.281
The Velvet Underground,Stephanie Says,experimental rock,1985,170.89261,-15.591
KT Tunstall,Under The Weather,rock,2004,216.5024,-9.911
OV7,Volvere,pop,2000,164.33587,-6.231
Neil Diamond,Brooklyn On A Saturday Night,rock,1984,224.57424,-15.849
Slum Village,Estimate,hip hop,1997,84.47955,-12.75
Donnie McClurkin,Psalm 27,hip hop,2000,302.36689,-8.004
Big Audio Dynamite,Badrock City,rock,1986,424.22812,-16.6
