College,Major,Level
FI,CG35,SO
WA,DS25,SO
SI,DS25,JR
MU,MA27,SR
WA,CE25,SO
WA,DS25,SO
FI,BI34,FR
WA,UN27,FR
WA,UN27,FR
WA,DS25,SO
SI,DS25,JR
SI,ES25,SO
SI,BI34,SR
WA,UNPS,SO
WA,MA27,SO
WA,EN28,JR
RE,LN25,SO
TH,IS31,FR
RE,CG35,FR
TH,DS25,SO
WA,CG35,SO
FI,DS25,JR
MU,BI34,SR
TH,MA27,SO
SI,DS25,JR
TH,EN28,JR
WA,CG25,FR
FI,EN25,FR
WA,DS25,FR
RE,DS25,SO
TH,DS25,SO
WA,CG35,FR
FI,DS25,JR
SI,CG25,SO
WA,DS25,SO
TH,DS25,FR
WA,UN27,SO
MU,DS25,FR
FI,CG30,SO
TH,MA30,JR
RE,DS25,SO
FI,UN27,FR
FI,DS25,JR
WA,UNPS,FR
MU,DS25,SO
RE,DS25,FR
SI,DS25,SO
SI,EN25,SO
FI,PS32,FR
FI,ES25,SO
MU,UN27,FR
SI,UN31,VI
SI,DS25,FR
WA,DS25,SO
SI,DS25,SO
SI,EC27,JR
TH,EN25,SR
RE,UNPS,SO
WA,PC35,SO
WA,SE27,FR
FI,DS25,FR
FI,MA29,FR
SI,MA27,SO
SI,EN28,SO
WA,DS25,FR
RE,DS25,JR
FI,UN27,FR
TH,BI34,SR
SI,CG35,SO
WA,BE25,SR
SI,MC27,SR
TH,SO28,FR
RE,UN27,FR
SI,CG35,SR
MU,CS26,SO
WA,DS25,SO
WA,UN27,SO
TH,DS25,FR
WA,CG35,FR
TH,DS25,SO
TH,UN27,SO
RE,SI29,FR
TH,DS25,SO
MU,MA30,JR
FI,DS25,SO
RE,CG35,SR
RE,MA27,SR
RE,UN27,SO
WA,DS25,SO
WA,PC29,FR
TH,DS25,FR
WA,CH31,SO
WA,DS25,FR
SI,MA27,SR
SI,DS25,SO
SI,EN25,FR
RE,BE27,SR
SI,MA35,JR
WA,DS25,JR
WA,MA35,JR
WA,EC27,JR
SI,DS25,JR
TH,EN25,SO
SI,DS25,JR
TH,CG30,SR
WA,DS25,FR
SI,DS25,JR
SI,DS25,JR
FI,DS25,JR
TH,SO25,FR
TH,BI34,SR
SI,DS25,FR
RE,DS25,JR
SI,CG25,SO
FI,DS25,SR
FI,DS25,SO
RE,DS25,JR
SI,CH31,SO
TH,DS25,SO
RE,EN28,JR
TH,DS25,SO
MU,CE25,SR
FI,CG35,FR
TH,EN28,JR
WA,MA27,FR
RE,BI29,SR
WA,DS25,SO
FI,MA35,FR
TH,MC27,SR
TH,DS25,JR
TH,CS26,SO
RE,PC26,JR
TH,BI35,JR
WA,DS25,FR
WA,CG35,FR
RE,UN27,FR
SI,DS25,SO
MU,CE25,SR
SI,CG25,SO
FI,CG35,FR
FI,DS25,SO
TH,EN26,SR
WA,MA27,SO
TH,DS25,FR
WA,MA30,SO
RE,CG35,FR
TH,UNPS,SO
SI,MA29,FR
RE,DS25,FR
WA,MA35,FR
FI,EN25,FR
MU,UNPS,FR
WA,MA31,SO
RE,CH31,SO
TH,DS25,SO
SI,MA27,JR
TH,EN28,JR
RE,MA35,SO
FI,MA35,FR
FI,UN27,SO
FI,UN27,FR
MU,EN26,SR
TH,IS34,FR
WA,MA29,SO
